service_id,date,exception_type
chouette:TimeTable:30d733a9-27c8-4a98-ba2c-c9f50cced6f1:LOC,20231203,1
chouette:TimeTable:30d733a9-27c8-4a98-ba2c-c9f50cced6f1:LOC,20231210,1
chouette:TimeTable:30d733a9-27c8-4a98-ba2c-c9f50cced6f1:LOC,20231217,1
chouette:TimeTable:deba0890-2515-440c-956d-c7f1ff389fab:LOC,20231125,1
chouette:TimeTable:deba0890-2515-440c-956d-c7f1ff389fab:LOC,20231202,1
chouette:TimeTable:deba0890-2515-440c-956d-c7f1ff389fab:LOC,20231209,1
chouette:TimeTable:deba0890-2515-440c-956d-c7f1ff389fab:LOC,20231216,1
chouette:TimeTable:d45c2d79-94bf-4688-8b84-cf42f7b3deff:LOC,20231126,1
chouette:TimeTable:d45c2d79-94bf-4688-8b84-cf42f7b3deff:LOC,20231203,1
chouette:TimeTable:d45c2d79-94bf-4688-8b84-cf42f7b3deff:LOC,20231210,1
chouette:TimeTable:d45c2d79-94bf-4688-8b84-cf42f7b3deff:LOC,20231217,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231125,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231128,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231129,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231130,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231201,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231202,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231205,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231206,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231207,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231208,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231209,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231212,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231213,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231214,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231215,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231216,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231219,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231220,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231221,1
chouette:TimeTable:e59da3bd-f5ad-4c83-9fc2-6cf82604fc16:LOC,20231222,1
chouette:TimeTable:9a9ce39e-3b1e-4360-98ef-84d9c5f3e615:LOC,20231126,1
chouette:TimeTable:9a9ce39e-3b1e-4360-98ef-84d9c5f3e615:LOC,20231203,1
chouette:TimeTable:9a9ce39e-3b1e-4360-98ef-84d9c5f3e615:LOC,20231210,1
chouette:TimeTable:9a9ce39e-3b1e-4360-98ef-84d9c5f3e615:LOC,20231217,1
chouette:TimeTable:8f9e6b2f-6ef6-4bdd-b26f-7e17a18e608b:LOC,20231125,1
chouette:TimeTable:8f9e6b2f-6ef6-4bdd-b26f-7e17a18e608b:LOC,20231202,1
chouette:TimeTable:8f9e6b2f-6ef6-4bdd-b26f-7e17a18e608b:LOC,20231209,1
chouette:TimeTable:8f9e6b2f-6ef6-4bdd-b26f-7e17a18e608b:LOC,20231216,1
chouette:TimeTable:48f5b45b-518e-4234-b258-2e307d090d88:LOC,20231126,1
chouette:TimeTable:48f5b45b-518e-4234-b258-2e307d090d88:LOC,20231203,1
chouette:TimeTable:48f5b45b-518e-4234-b258-2e307d090d88:LOC,20231210,1
chouette:TimeTable:48f5b45b-518e-4234-b258-2e307d090d88:LOC,20231217,1
